Company,Model,Variant,Price,Body_Type,Displacement(cc),Cylinders,Fuel_System,Fuel_Tank_Capacity(liters),Fuel_Type,City_Mileage(km/lit),Seating_Capacity,Basic_Warranty,Child_Safety_Locks,Number_of_Airbags,Parking_Assistance,Navigation_System
Tata,Nano Genx,Xt,292667,Hatchback,624,2,Injection,24,Petrol,23.6,4.0,2.0,Yes,2.0,No Sensors,No
Tata,Nano Genx,Xe,236447,Hatchback,624,2,Injection,24,Petrol,23.6,4.0,2.0,Yes,2.0,No Sensors,No
Tata,Nano Genx,Emax Xm,296661,Hatchback,624,2,Injection,15,CNG,15.5,4.0,2.0,Yes,2.0,No Sensors,No
Tata,Nano Genx,Xta,334768,Hatchback,624,2,Injection,24,Petrol,23.6,4.0,2.0,Yes,2.0,No Sensors,No
Tata,Nano Genx,Xm,272223,Hatchback,624,2,Injection,24,Petrol,23.6,4.0,2.0,Yes,2.0,No Sensors,No
Tata,Nano Genx,Xma,314815,Hatchback,624,2,Injection,24,Petrol,23.6,4.0,2.0,Yes,2.0,No Sensors,No
Datsun,Redi-Go,D,279650,Hatchback,799,3,Injection,28,Petrol,21.38,5.0,2.0,Yes,2.0,No Sensors,No
Datsun,Redi-Go,T,351832,Hatchback,799,3,Injection,28,Petrol,21.38,5.0,2.0,Yes,2.0,No Sensors,No
Datsun,Redi-Go,A,333419,Hatchback,799,3,Injection,28,Petrol,21.38,5.0,2.0,Yes,2.0,No Sensors,No
Datsun,Redi-Go,S,362000,Hatchback,799,3,Injection,28,Petrol,21.38,5.0,2.0,Yes,2.0,Rear sensors,No
Datsun,Redi-Go,1.0 S,390000,Hatchback,999,3,Injection,28,Petrol,15.5,5.0,2.0,Yes,2.0,No Sensors,No
Datsun,Redi-Go,1.0 S Amt,437065,Hatchback,999,3,Injection,28,Petrol,15.5,5.0,2.0,Yes,2.0,Rear sensors,No
Renault,Kwid,Rxe 0.8,353290,Hatchback,799,3,Injection,28,Petrol,25.17,5.0,2.0,Yes,1.0,No Sensors,No
Renault,Kwid,Std 0.8,283290,Hatchback,799,3,Injection,28,Petrol,25.17,5.0,2.0,No,1.0,No Sensors,No
Renault,Kwid,Rxl 0.8,383290,Hatchback,799,3,Injection,28,Petrol,25.17,5.0,2.0,Yes,1.0,No Sensors,No
Renault,Kwid,Rxt 0.8,413290,Hatchback,799,3,Injection,28,Petrol,25.17,5.0,2.0,Yes,1.0,No Sensors,Yes
Renault,Kwid,Rxt 1.0,433290,Hatchback,999,3,Injection,28,Petrol,25.17,5.0,2.0,Yes,1.0,Rear sensors with camera,No
Renault,Kwid,Climber 1.0 Mt,454490,Hatchback,999,3,Injection,28,Petrol,25.17,5.0,2.0,Yes,1.0,Rear sensors with camera,No
Renault,Kwid,Rxt Amt 1.0,463290,Hatchback,999,3,Injection,28,Petrol,25.17,5.0,2.0,Yes,1.0,Rear sensors with camera,Yes
Renault,Kwid,Climber Amt 1.0,484490,Hatchback,999,3,Injection,28,Petrol,25.17,5.0,2.0,Yes,1.0,Rear sensors with camera,Yes
Renault,Kwid,Rxt (O) 1.0,440990,Hatchback,999,3,Injection,28,Petrol,25.17,5.0,2.0,Yes,2.0,Rear sensors with camera,No
Renault,Kwid,Rxt (O) Amt 1.0,470990,Hatchback,999,3,Injection,28,Petrol,25.17,5.0,2.0,Yes,2.0,Rear sensors with camera,No
Renault,Kwid,Climber (O) Mt 1.0,462190,Hatchback,999,3,Injection,28,Petrol,25.17,5.0,2.0,Yes,2.0,Rear sensors with camera,No
Renault,Kwid,Climber (O) Amt 1.0,492190,Hatchback,999,3,Injection,28,Petrol,25.17,5.0,2.0,Yes,2.0,Rear sensors with camera,Yes
Maruti Suzuki,Eeco,5 Str,352136,MPV,1196,4,Injection,40,Petrol,12.0,5.0,2.0,Yes,1.0,Rear sensors,No
Maruti Suzuki,Eeco,7 Str,380573,MPV,1196,4,Injection,40,Petrol,12.0,7.0,2.0,Yes,1.0,Rear sensors,No
Maruti Suzuki,Eeco,5 Str With Ac+Htr,392967,MPV,1196,4,Injection,40,Petrol,11.0,5.0,2.0,Yes,2.0,No Sensors,No
Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,466057,MPV,1196,4,Injection,40,CNG,15.5,5.0,2.0,Yes,1.0,Rear sensors,No
Maruti Suzuki,Eeco,5 Str With Htr Cng,425255,MPV,1196,4,Injection,40,CNG,15.5,5.0,2.0,Yes,1.0,Rear sensors,No
Maruti Suzuki,Alto K10,Lxi,377588,Hatchback,998,3,Injection,35,Petrol,14.0,5.0,2.0,Yes,1.0,No Sensors,No
Maruti Suzuki,Alto K10,Vxi,394036,Hatchback,998,3,Injection,35,Petrol,14.0,5.0,2.0,Yes,1.0,No Sensors,No
Maruti Suzuki,Alto K10,Lx,360843,Hatchback,998,3,Injection,35,Petrol,19.0,5.0,2.0,Yes,1.0,No Sensors,No
Maruti Suzuki,Alto K10,Vxi (O),407238,Hatchback,998,3,Injection,35,Petrol,14.0,5.0,2.0,Yes,1.0,No Sensors,No
Maruti Suzuki,Alto K10,Lxi Cng (O),439777,Hatchback,998,3,Injection,35,CNG,15.5,5.0,2.0,Yes,1.0,No Sensors,No
Maruti Suzuki,Alto K10,Vxi Amt (O),438559,Hatchback,998,3,Injection,35,Petrol,14.0,5.0,2.0,Yes,1.0,No Sensors,No
Datsun,Go,D,374990,Hatchback,1198,3,Injection,35,Petrol,15.5,5.0,2.0,Yes,2.0,Rear sensors,No
Datsun,Go,T,468229,Hatchback,1198,3,Injection,35,Petrol,15.5,5.0,2.0,Yes,2.0,Rear sensors,Yes
Datsun,Go,T (O),502492,Hatchback,1198,3,Injection,35,Petrol,20.6,5.0,2.0,Yes,2.0,Rear sensors,Yes
Datsun,Go,A (O),499990,Hatchback,1198,3,Injection,35,Petrol,20.6,5.0,2.0,Yes,2.0,Rear sensors,No
Datsun,Go,A,469990,Hatchback,1198,3,Injection,35,Petrol,20.6,5.0,2.0,Yes,2.0,Rear sensors,No
Datsun,Go,T Vdc,528464,Hatchback,1198,3,Injection,35,Petrol,15.5,5.0,2.0,Yes,2.0,Rear sensors,Yes
Datsun,Go,T (O) Vdc,553015,Hatchback,1198,3,Injection,35,Petrol,20.6,5.0,2.0,Yes,2.0,Rear sensors,Yes
Datsun,Go,T Cvt,594464,Hatchback,1198,3,Injection,35,Petrol,15.5,5.0,2.0,Yes,2.0,Rear sensors,Yes
Datsun,Go,T (O) Cvt,618015,Hatchback,1198,3,Injection,35,Petrol,20.6,5.0,2.0,Yes,2.0,Rear sensors,Yes
Maruti Suzuki,Celerio Tour,H2,422444,Hatchback,998,3,Injection,35,Petrol,23.0,5.0,2.0,Yes,2.0,No Sensors,No
